Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
633,Lud Wray,4,1932-1935,41,13,25,3,.342,-12,0,0,0,0,,4.0,3,0,0,0
634,Sam Wyche,12,1984-1995,191,84,107,0,.440,-23,2,5,3,2,.600,3.2,1,0,0,1
635,Doug Wycoff,2,1929-1930,22,8,9,5,.471,-1,0,0,0,0,,6.0,6,0,0,0
636,Zaven Yaralian,3,1997-1999,0,0,0,0,,0,0,0,0,0,,4.0,3,0,0,0
637,Doc Young,2,1925-1926,8,1,7,0,.125,-6,0,0,0,0,,17.5,14,0,0,0
638,Swede Youngstrom,1,1927,10,4,4,2,.500,0,0,0,0,0,,7.0,7,0,0,0
639,Ernie Zampese,17,1983-1999,0,0,0,0,,0,0,0,0,0,,3.1,1,0,0,0
640,Mike Zimmer,12,2000-2011,0,0,0,0,,0,0,0,0,0,,3.1,1,0,0,0
641,Ron Zook,2,2000-2001,0,0,0,0,,0,0,0,0,0,,2.0,1,0,0,0
642,Jim Zorn,2,2008-2009,32,12,20,0,.375,-8,0,0,0,0,,4.0,4,0,0,0
